oal_type,wos_type,n
article,Article,16924772
article,Other,1189665
review,Review,969674
article,Editorial Material,578176
letter,Letter,355227
article,Proceedings Paper,318480
review,Article,315809
article,Review,271804
letter,Editorial Material,219275
editorial,Editorial Material,163571
erratum,Correction,119180
article,Letter,78263
article,Correction,70963
article,News Item,59202
article,Early Access,47204
review,Editorial Material,36947
article,Biographical-Item,28135
letter,Article,20059
review,Proceedings Paper,12491
preprint,Article,10650
review,Other,10464
review,Letter,8065
retraction,Retraction,5703
article,Retraction,3813
review,Correction,3554
editorial,Article,3502
letter,News Item,3483
review,Early Access,2560
review,News Item,2282
retraction,Correction,1466
paratext,Article,1348
editorial,Biographical-Item,944
erratum,Early Access,758
letter,Early Access,705
letter,Review,611
erratum,Article,455
letter,Other,428
editorial,Letter,377
preprint,Proceedings Paper,313
editorial,Early Access,305
preprint,Review,269
paratext,Editorial Material,238
letter,Correction,233
retraction,Other,214
erratum,Editorial Material,209
editorial,Review,204
preprint,Editorial Material,186
letter,Proceedings Paper,174
preprint,Other,157
erratum,Letter,140
letter,Biographical-Item,136
review,Biographical-Item,130
retraction,Article,122
editorial,Other,120
erratum,Other,104
editorial,Proceedings Paper,98
review,Retraction,88
editorial,News Item,84
paratext,Proceedings Paper,64
retraction,Early Access,63
editorial,Correction,56
erratum,Retraction,49
paratext,Review,44
paratext,Letter,41
preprint,Early Access,32
preprint,Letter,32
paratext,Other,29
retraction,Letter,25
letter,Retraction,21
retraction,Editorial Material,21
erratum,Proceedings Paper,18
erratum,Review,18
preprint,Correction,12
paratext,Correction,11
paratext,Early Access,11
preprint,Biographical-Item,11
preprint,News Item,9
paratext,Biographical-Item,5
editorial,Retraction,4
erratum,Biographical-Item,4
erratum,News Item,3
retraction,Review,3
paratext,News Item,2
other,Correction,2
other,News Item,1
reference-entry,Article,1
other,Article,1
other,Editorial Material,1
