source,target,n
0,7,1697469
0,12,21393
0,10,594
0,9,27764
0,8,39996
0,11,4564
5,7,280
5,12,4531423
5,10,28
5,9,419
5,8,594
5,11,123
3,7,1005
3,12,66
3,10,1977220
3,9,6173
3,8,898
3,13,99596
3,11,4870
2,7,2555
2,12,710
2,10,4852
2,9,3737928
2,8,1965
2,13,289153
2,11,1744
1,7,24
1,12,631
1,10,24
1,9,141
1,8,1134700
1,13,1
1,11,74
6,10,11257
6,9,26574
4,7,9199
4,12,13653
4,10,10580
4,9,9606
4,8,7854
4,11,124893
7,14,1274433
7,19,382304
7,17,802
7,16,2467
7,15,44296
7,18,3
7,20,6227
12,14,306
12,19,4564363
12,17,13
12,16,101
12,15,2950
12,20,143
10,14,7188
10,19,128
10,17,1481539
10,16,3975
10,15,1625
10,18,399215
10,20,110885
9,14,2440
9,19,5210
9,17,2482
9,16,2807543
9,15,10977
9,18,957984
9,20,21969
8,14,21785
8,19,4754
8,17,181
8,16,807
8,15,1157331
8,20,1149
13,17,5781
13,18,340119
11,14,29965
11,19,5849
11,17,50578
11,16,30181
11,15,9617
11,20,10078
