source,target,n
4,12,1284872
4,10,386876
4,13,811
4,9,2483
4,8,44655
4,11,3
4,7,6767
3,12,313
3,10,4606762
3,13,15
3,9,101
3,8,3185
3,7,3478
5,12,7209
5,10,158
5,13,1491093
5,9,4049
5,8,1649
5,11,402107
5,7,111709
2,12,2443
2,10,5217
2,13,2493
2,9,2811549
2,8,10991
2,11,962387
2,7,22032
1,12,21956
1,10,4917
1,13,181
1,9,807
1,8,1177526
1,7,1273
6,13,5862
6,11,3636
0,12,30131
0,10,6639
0,13,51998
0,9,30655
0,8,10016
0,7,10415091
12,19,1323116
12,17,9491
12,20,1647
12,16,4194
12,15,2067
12,18,1
12,14,6408
10,19,125
10,17,4998945
10,20,105
10,16,1708
10,15,8797
10,18,1
10,14,888
13,19,1886
13,17,140
13,20,1353561
13,16,2950
13,15,234
13,18,148113
13,14,45569
9,19,970
9,17,1145
9,20,3261
9,16,2400801
9,15,1297
9,18,429388
9,14,12782
8,19,13526
8,17,1653
8,20,433
8,16,6061
8,15,1224838
8,18,1
8,14,1510
11,20,4695
11,16,3
11,18,1179862
7,19,11464
7,17,6818
7,20,13467
7,16,9349
7,15,10352
7,14,10508900
